attack_id,features
210,"through_ball,fast_break"
211,"through_ball,fast_break"
212,"through_ball,fast_break"
213,"central_attack,goal"
214,"central_attack,fast_break"
215,"central_attack,fast_break"
216,"inside_box_shot,central_attack,goal"
217,"central_attack,goal"
218,"central_attack,fast_break"
219,"inside_box_shot,central_attack,goal"
220,"central_attack,fast_break"
221,"central_attack,goal"
222,"central_attack,fast_break"
223,"inside_box_shot,central_attack,goal"
224,"inside_box_shot,central_attack,goal"
225,"central_attack,fast_break"
226,"inside_box_shot,central_attack,goal"
227,"central_attack,fast_break"
228,"inside_box_shot,central_attack,goal"
229,"inside_box_shot,central_attack,goal"
230,"central_attack,fast_break"
231,"central_attack,fast_break"
232,"inside_box_shot,central_attack,goal"
233,"central_attack,through_ball"
234,"central_attack,through_ball"
235,"central_attack,through_ball"
236,"central_attack,through_ball"
237,"inside_box_shot,central_attack,through_ball,goal"
238,"central_attack,through_ball"
239,"through_ball,central_attack"
240,"central_attack,through_ball"
241,"central_attack,through_ball"
242,"central_attack,through_ball"
243,"central_attack,through_ball"
244,"central_attack,through_ball"
245,"central_attack,through_ball"
246,"central_attack,through_ball,fast_break"
247,"central_attack,through_ball"
248,"through_ball,central_attack,goal"
249,"through_ball,fast_break"
250,"through_ball,fast_break"
251,"central_attack,through_ball"
252,"central_attack,through_ball"
253,"through_ball,fast_break"
254,"central_attack,through_ball,goal"
255,"central_attack,through_ball"
256,"central_attack,through_ball"
257,"through_ball,central_attack"
258,"central_attack,through_ball"
259,"through_ball,fast_break"
260,"inside_box_shot,central_attack,through_ball,goal"
261,"central_attack,through_ball"
262,"central_attack,through_ball"
263,"central_attack,through_ball"
264,"central_attack,through_ball,inside_box_shot,fast_break,goal"
265,"central_attack,through_ball"
266,"central_attack,through_ball"
267,"central_attack,through_ball"
268,"central_attack,through_ball"
269,"central_attack,through_ball"
270,"central_attack,through_ball"
271,"inside_box_shot,central_attack,through_ball,goal"
272,"through_ball,fast_break"
273,"central_attack,through_ball"
274,"central_attack,through_ball"
275,"central_attack,through_ball"
276,"central_attack,through_ball"
277,"central_attack,through_ball"
278,"central_attack,through_ball"
279,"through_ball,fast_break"
280,"central_attack,through_ball"
281,"through_ball,fast_break"
282,"through_ball,fast_break"
283,"central_attack,through_ball"
284,"central_attack,through_ball"
285,"central_attack,through_ball"
286,"central_attack,through_ball"
287,"central_attack,through_ball"
288,"central_attack,through_ball"
289,"through_ball,fast_break"
290,"central_attack,through_ball"
291,"central_attack,through_ball"
292,"central_attack,through_ball,goal"
293,"central_attack,through_ball"
294,"inside_box_shot,central_attack,through_ball,goal"
295,"central_attack,through_ball"
296,"central_attack,through_ball"
