support,itemsets,length
0.979182156133829,central_attack,1
0.35650557620817847,goal,1
0.2234200743494424,inside_box_shot,1
0.3970260223048327,fast_break,1
0.5635687732342007,through_ball,1
0.3546468401486989,"central_attack, goal",2
0.09628252788104089,"fast_break, goal",2
0.13234200743494423,"goal, through_ball",2
0.09553903345724907,"central_attack, fast_break, goal",3
0.015985130111524165,"fast_break, goal, through_ball",3
0.015613382899628252,"central_attack, fast_break, goal, through_ball",4
0.13122676579925652,"central_attack, goal, through_ball",3
0.2234200743494424,"goal, inside_box_shot",2
0.22267657992565057,"central_attack, inside_box_shot",2
0.07174721189591078,"fast_break, inside_box_shot",2
0.08215613382899628,"inside_box_shot, through_ball",2
0.22267657992565057,"central_attack, goal, inside_box_shot",3
0.07174721189591078,"fast_break, goal, inside_box_shot",3
0.07137546468401487,"central_attack, fast_break, inside_box_shot",3
0.01486988847583643,"fast_break, inside_box_shot, through_ball",3
0.07137546468401487,"central_attack, fast_break, goal, inside_box_shot",4
0.01486988847583643,"fast_break, goal, inside_box_shot, through_ball",4
0.01449814126394052,"central_attack, fast_break, inside_box_shot, through_ball",4
0.01449814126394052,"central_attack, fast_break, goal, inside_box_shot, through_ball",5
0.08215613382899628,"goal, inside_box_shot, through_ball",3
0.08178438661710037,"central_attack, inside_box_shot, through_ball",3
0.08178438661710037,"central_attack, goal, inside_box_shot, through_ball",4
0.37732342007434944,"central_attack, fast_break",2
0.10446096654275093,"fast_break, through_ball",2
0.08513011152416357,"central_attack, fast_break, through_ball",3
0.5434944237918216,"central_attack, through_ball",2
