antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"fast_break, goal, through_ball",inside_box_shot,0.015985130111524165,0.2234200743494424,0.01486988847583643,0.9302325581395348,4.163603296830862,1.0,0.01129848951783419,11.13097893432464,0.7721666037023044,0.0662251655629139,0.9101606421231923,0.4983941492860735
"central_attack, fast_break, goal, through_ball",inside_box_shot,0.015613382899628252,0.2234200743494424,0.01449814126394052,0.9285714285714285,4.156168290943665,1.0,0.011009798095659263,10.872118959107794,0.7714385312572622,0.06456953642384106,0.9080216097927919,0.4967316377466128
"fast_break, goal, through_ball","central_attack, inside_box_shot",0.015985130111524165,0.22267657992565057,0.01449814126394052,0.9069767441860463,4.073067515626819,1.0,0.010938627161039785,8.35622676579924,0.7667412552187769,0.06467661691542288,0.8803287622479505,0.48604262918818175
"central_attack, fast_break, goal",inside_box_shot,0.09553903345724907,0.2234200743494424,0.07137546468401487,0.7470817120622568,3.3438432702952925,1.0,0.05003012672572242,3.0704775521875898,0.7749841587888752,0.2882882882882883,0.6743177623013265,0.5332746330693979
"fast_break, goal",inside_box_shot,0.09628252788104089,0.2234200743494424,0.07174721189591078,0.7451737451737452,3.3353034517759976,1.0,0.05023576235817637,3.0474878900529467,0.7747744483495779,0.28935532233883055,0.6718608781796911,0.5331525963805498
"fast_break, goal","central_attack, inside_box_shot",0.09628252788104089,0.22267657992565057,0.07137546468401487,0.7413127413127414,3.3291006245931123,1.0,0.049935600668868596,3.004877101481441,0.7741562971342384,0.2882882882882883,0.6672076872937706,0.5309234825094592
"central_attack, goal",inside_box_shot,0.3546468401486989,0.2234200743494424,0.22267657992565057,0.6278825995807128,2.8103231162597626,1.0,0.14344135653183343,2.0869218283679776,0.9981651446727647,0.6265690376569039,0.5208253675788019,0.812277406279541
inside_box_shot,"central_attack, goal",0.2234200743494424,0.3546468401486989,0.22267657992565057,0.9966722129783694,2.8103231162597626,1.0,0.14344135653183343,193.92862453531617,0.8294948258266728,0.6265690376569039,0.9948434636588789,0.812277406279541
"inside_box_shot, through_ball","central_attack, goal",0.08215613382899628,0.3546468401486989,0.08178438661710037,0.995475113122172,2.8069476460153484,1.0,0.05264797335581321,142.62304832713806,0.7013623476563938,0.23036649214659682,0.9929885105406927,0.6130415397895975
"fast_break, inside_box_shot","central_attack, goal",0.07174721189591078,0.3546468401486989,0.07137546468401487,0.9948186528497409,2.805096620718871,1.0,0.04593054269565097,124.55315985130068,0.6932443932719263,0.20104712041884817,0.9919712996346792,0.5980382572424805
"central_attack, fast_break, inside_box_shot, through_ball",goal,0.01449814126394052,0.35650557620817847,0.01449814126394052,1.0,2.8050052137643378,1.0,0.009329473058691836,inf,0.6529611467370804,0.04066736183524504,1.0,0.5203336809176226
"central_attack, fast_break, inside_box_shot",goal,0.07137546468401487,0.35650557620817847,0.07137546468401487,1.0,2.8050052137643378,1.0,0.04592971351971366,inf,0.6929543634907926,0.20020855057351405,1.0,0.600104275286757
"central_attack, inside_box_shot, through_ball",goal,0.08178438661710037,0.35650557620817847,0.08178438661710037,1.0,2.8050052137643378,1.0,0.052627796741338564,inf,0.7008097165991903,0.22940563086548485,1.0,0.6147028154327424
inside_box_shot,goal,0.2234200743494424,0.35650557620817847,0.2234200743494424,1.0,2.8050052137643378,1.0,0.14376957200702034,inf,0.8286261369076111,0.6266944734098018,1.0,0.8133472367049009
"central_attack, inside_box_shot",goal,0.22267657992565057,0.35650557620817847,0.22267657992565057,1.0,2.8050052137643378,1.0,0.14329113749119,inf,0.8278335724533715,0.6246089676746611,1.0,0.8123044838373306
goal,inside_box_shot,0.35650557620817847,0.2234200743494424,0.2234200743494424,0.6266944734098019,2.8050052137643378,1.0,0.14376957200702034,2.080279744968952,0.9999999999999998,0.6266944734098018,0.5192954205229138,0.8133472367049009
"inside_box_shot, through_ball",goal,0.08215613382899628,0.35650557620817847,0.08215613382899628,1.0,2.8050052137643378,1.0,0.05286701399925374,inf,0.7010935601458079,0.23044838373305523,1.0,0.6152241918665277
"fast_break, inside_box_shot, through_ball",goal,0.01486988847583643,0.35650557620817847,0.01486988847583643,1.0,2.8050052137643378,1.0,0.009568690316607011,inf,0.6532075471698113,0.04171011470281543,1.0,0.5208550573514077
"fast_break, inside_box_shot",goal,0.07174721189591078,0.35650557620817847,0.07174721189591078,1.0,2.8050052137643378,1.0,0.04616893077762883,inf,0.6932318782539046,0.20125130344108444,1.0,0.6006256517205422
goal,"central_attack, inside_box_shot",0.35650557620817847,0.22267657992565057,0.22267657992565057,0.6246089676746611,2.8050052137643378,1.0,0.14329113749119,2.0707032218091697,0.9999999999999998,0.6246089676746611,0.5170722730965271,0.8123044838373306
"central_attack, goal, through_ball",inside_box_shot,0.13122676579925652,0.2234200743494424,0.08178438661710037,0.6232294617563738,2.7894962597747845,1.0,0.05246569284559362,2.0611482237191487,0.7384117166530516,0.2997275204359673,0.5148335338078724,0.4946430170678708
"goal, through_ball",inside_box_shot,0.13234200743494423,0.2234200743494424,0.08215613382899628,0.6207865168539326,2.7785619473162706,1.0,0.05258827268832658,2.0478700261599894,0.7377349199517654,0.30027173913043476,0.5116877598549922,0.49425349137205776
"goal, through_ball","central_attack, inside_box_shot",0.13234200743494423,0.22267657992565057,0.08178438661710037,0.6179775280898877,2.7752246253118495,1.0,0.05231492102099197,2.034758364312268,0.7372361143569369,0.29931972789115646,0.5085411528272586,0.4926281630432744
"fast_break, inside_box_shot, through_ball","central_attack, goal",0.01486988847583643,0.3546468401486989,0.01449814126394052,0.975,2.749213836477987,1.0,0.009224582302621577,25.814126394052025,0.6458635703918724,0.04083769633507853,0.961261520737327,0.507940251572327
inside_box_shot,central_attack,0.2234200743494424,0.979182156133829,0.22267657992565057,0.9966722129783694,1.017861903155586,1.0,0.003907629800583207,6.255762081784399,0.022597100161350886,0.22723823975720792,0.8401473734252439,0.6120414975294277
"goal, inside_box_shot",central_attack,0.2234200743494424,0.979182156133829,0.22267657992565057,0.9966722129783694,1.017861903155586,1.0,0.003907629800583207,6.255762081784399,0.022597100161350886,0.22723823975720792,0.8401473734252439,0.6120414975294277
"goal, inside_box_shot, through_ball",central_attack,0.08215613382899628,0.979182156133829,0.08178438661710037,0.995475113122172,1.0166393524292492,1.0,0.0013385663548043936,4.6007434944238135,0.01783202621598747,0.08349146110056926,0.7826438267614748,0.5394991359080867
"inside_box_shot, through_ball",central_attack,0.08215613382899628,0.979182156133829,0.08178438661710037,0.995475113122172,1.0166393524292492,1.0,0.0013385663548043936,4.6007434944238135,0.01783202621598747,0.08349146110056926,0.7826438267614748,0.5394991359080867
"fast_break, inside_box_shot",central_attack,0.07174721189591078,0.979182156133829,0.07137546468401487,0.9948186528497409,1.0159689355223247,1.0,0.0011218750431862545,4.017843866170994,0.01693281938326003,0.072865275142315,0.7511102886750549,0.533855795673162
"fast_break, goal, inside_box_shot",central_attack,0.07174721189591078,0.979182156133829,0.07137546468401487,0.9948186528497409,1.0159689355223247,1.0,0.0011218750431862545,4.017843866170994,0.01693281938326003,0.072865275142315,0.7511102886750549,0.533855795673162
goal,central_attack,0.35650557620817847,0.979182156133829,0.3546468401486989,0.9947862356621481,1.0159358291310472,1.0,0.005562941363441654,3.9928624535316075,0.024376065022217952,0.3615005683971201,0.749553105913899,0.6784865119085228
"fast_break, goal",central_attack,0.09628252788104089,0.979182156133829,0.09553903345724907,0.9922779922779923,1.013374259387927,1.0,0.0012609002086759469,2.6959107806691534,0.014603844313159977,0.09749620637329287,0.6290678433535588,0.5449241138307197
"goal, through_ball",central_attack,0.13234200743494423,0.979182156133829,0.13122676579925652,0.9915730337078653,1.012654313088139,1.0,0.0016398336120286017,2.470384138785671,0.014402198319703269,0.13386423966628747,0.5952046548956735,0.562794869169802
"fast_break, goal, through_ball",central_attack,0.015985130111524165,0.979182156133829,0.015613382899628252,0.9767441860465115,0.9975101975949567,1.0,-3.897126905377454e-05,0.8951672862453482,-0.0025301464254954237,0.015939278937381403,-0.11710963455150113,0.4963447581713195
"fast_break, inside_box_shot, through_ball",central_attack,0.01486988847583643,0.979182156133829,0.01449814126394052,0.975,0.9957289293849658,1.0,-6.218819529857193e-05,0.8327137546468403,-0.004335260115606901,0.014800759013282731,-0.2008928571428569,0.49490318906605923
"fast_break, goal, inside_box_shot, through_ball",central_attack,0.01486988847583643,0.979182156133829,0.01449814126394052,0.975,0.9957289293849658,1.0,-6.218819529857193e-05,0.8327137546468403,-0.004335260115606901,0.014800759013282731,-0.2008928571428569,0.49490318906605923
through_ball,central_attack,0.5635687732342007,0.979182156133829,0.5434944237918216,0.9643799472295514,0.9848830896156011,1.0,-0.008342062713340037,0.584441690761394,-0.03397435320179735,0.5438988095238095,-0.7110346777233304,0.7597146509116626
central_attack,through_ball,0.979182156133829,0.5635687732342007,0.5434944237918216,0.5550493545937737,0.9848830896156011,1.0,-0.008342062713340037,0.9808531154446375,-0.4243932619027522,0.5438988095238095,-0.019520644073891612,0.7597146509116626
fast_break,central_attack,0.3970260223048327,0.979182156133829,0.37732342007434944,0.950374531835206,0.9705799129220594,1.0,-0.011437376487334339,0.419499193378692,-0.04786442826639647,0.37774469668775584,-1.3837948100588502,0.667860006995811
"fast_break, through_ball",central_attack,0.10446096654275093,0.979182156133829,0.08513011152416357,0.8149466192170819,0.8322727432399204,1.0,-0.017156202926991063,0.11249642550757807,-0.1836979602104158,0.08525688756515265,-7.889171326893735,0.4509433172015554
