antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'cross', 'cutback'})",frozenset({'header'}),0.8688524590163934,0.7650273224043715,0.7595628415300546,0.8742138364779874,1.1427223719676551,1.0,0.09486697124428922,1.8680327868852467,0.9523381294964032,0.8687500000000001,0.464677490127249,0.9335354896675652
frozenset({'header'}),"frozenset({'cross', 'cutback'})",0.7650273224043715,0.8688524590163934,0.7595628415300546,0.9928571428571429,1.1427223719676551,1.0,0.09486697124428922,18.360655737704988,0.5315375606491554,0.8687500000000001,0.9455357142857145,0.9335354896675652
"frozenset({'cross', 'goal', 'cutback'})","frozenset({'header', 'wing_play'})",0.8688524590163934,0.7650273224043715,0.7595628415300546,0.8742138364779874,1.1427223719676551,1.0,0.09486697124428922,1.8680327868852467,0.9523381294964032,0.8687500000000001,0.464677490127249,0.9335354896675652
"frozenset({'wing_play', 'cross', 'cutback'})","frozenset({'header', 'goal'})",0.8688524590163934,0.7650273224043715,0.7595628415300546,0.8742138364779874,1.1427223719676551,1.0,0.09486697124428922,1.8680327868852467,0.9523381294964032,0.8687500000000001,0.464677490127249,0.9335354896675652
"frozenset({'cross', 'cutback'})","frozenset({'header', 'wing_play'})",0.8688524590163934,0.7650273224043715,0.7595628415300546,0.8742138364779874,1.1427223719676551,1.0,0.09486697124428922,1.8680327868852467,0.9523381294964032,0.8687500000000001,0.464677490127249,0.9335354896675652
frozenset({'header'}),"frozenset({'wing_play', 'cross', 'cutback'})",0.7650273224043715,0.8688524590163934,0.7595628415300546,0.9928571428571429,1.1427223719676551,1.0,0.09486697124428922,18.360655737704988,0.5315375606491554,0.8687500000000001,0.9455357142857145,0.9335354896675652
"frozenset({'header', 'goal'})","frozenset({'cross', 'cutback'})",0.7650273224043715,0.8688524590163934,0.7595628415300546,0.9928571428571429,1.1427223719676551,1.0,0.09486697124428922,18.360655737704988,0.5315375606491554,0.8687500000000001,0.9455357142857145,0.9335354896675652
"frozenset({'cross', 'goal', 'cutback'})",frozenset({'header'}),0.8688524590163934,0.7650273224043715,0.7595628415300546,0.8742138364779874,1.1427223719676551,1.0,0.09486697124428922,1.8680327868852467,0.9523381294964032,0.8687500000000001,0.464677490127249,0.9335354896675652
"frozenset({'cross', 'cutback'})","frozenset({'header', 'goal'})",0.8688524590163934,0.7650273224043715,0.7595628415300546,0.8742138364779874,1.1427223719676551,1.0,0.09486697124428922,1.8680327868852467,0.9523381294964032,0.8687500000000001,0.464677490127249,0.9335354896675652
frozenset({'header'}),"frozenset({'cross', 'goal', 'cutback'})",0.7650273224043715,0.8688524590163934,0.7595628415300546,0.9928571428571429,1.1427223719676551,1.0,0.09486697124428922,18.360655737704988,0.5315375606491554,0.8687500000000001,0.9455357142857145,0.9335354896675652
"frozenset({'header', 'goal', 'wing_play'})","frozenset({'cross', 'cutback'})",0.7650273224043715,0.8688524590163934,0.7595628415300546,0.9928571428571429,1.1427223719676551,1.0,0.09486697124428922,18.360655737704988,0.5315375606491554,0.8687500000000001,0.9455357142857145,0.9335354896675652
"frozenset({'wing_play', 'cross', 'goal', 'cutback'})",frozenset({'header'}),0.8688524590163934,0.7650273224043715,0.7595628415300546,0.8742138364779874,1.1427223719676551,1.0,0.09486697124428922,1.8680327868852467,0.9523381294964032,0.8687500000000001,0.464677490127249,0.9335354896675652
"frozenset({'cross', 'cutback'})","frozenset({'header', 'goal', 'wing_play'})",0.8688524590163934,0.7650273224043715,0.7595628415300546,0.8742138364779874,1.1427223719676551,1.0,0.09486697124428922,1.8680327868852467,0.9523381294964032,0.8687500000000001,0.464677490127249,0.9335354896675652
"frozenset({'header', 'goal'})","frozenset({'wing_play', 'cross', 'cutback'})",0.7650273224043715,0.8688524590163934,0.7595628415300546,0.9928571428571429,1.1427223719676551,1.0,0.09486697124428922,18.360655737704988,0.5315375606491554,0.8687500000000001,0.9455357142857145,0.9335354896675652
"frozenset({'header', 'wing_play'})","frozenset({'cross', 'goal', 'cutback'})",0.7650273224043715,0.8688524590163934,0.7595628415300546,0.9928571428571429,1.1427223719676551,1.0,0.09486697124428922,18.360655737704988,0.5315375606491554,0.8687500000000001,0.9455357142857145,0.9335354896675652
frozenset({'header'}),"frozenset({'wing_play', 'cross', 'goal', 'cutback'})",0.7650273224043715,0.8688524590163934,0.7595628415300546,0.9928571428571429,1.1427223719676551,1.0,0.09486697124428922,18.360655737704988,0.5315375606491554,0.8687500000000001,0.9455357142857145,0.9335354896675652
"frozenset({'wing_play', 'cross', 'cutback'})",frozenset({'header'}),0.8688524590163934,0.7650273224043715,0.7595628415300546,0.8742138364779874,1.1427223719676551,1.0,0.09486697124428922,1.8680327868852467,0.9523381294964032,0.8687500000000001,0.464677490127249,0.9335354896675652
"frozenset({'header', 'wing_play'})","frozenset({'cross', 'cutback'})",0.7650273224043715,0.8688524590163934,0.7595628415300546,0.9928571428571429,1.1427223719676551,1.0,0.09486697124428922,18.360655737704988,0.5315375606491554,0.8687500000000001,0.9455357142857145,0.9335354896675652
frozenset({'cross'}),frozenset({'header'}),0.8907103825136612,0.7650273224043715,0.7650273224043715,0.8588957055214723,1.1226993865030674,1.0,0.08360954343217175,1.6652411499168442,0.9999999999999999,0.8588957055214724,0.3994863746611497,0.9294478527607362
frozenset({'header'}),frozenset({'cross'}),0.7650273224043715,0.8907103825136612,0.7650273224043715,1.0,1.1226993865030674,1.0,0.08360954343217175,inf,0.4651162790697674,0.8588957055214724,1.0,0.9294478527607362
frozenset({'cross'}),"frozenset({'header', 'wing_play'})",0.8907103825136612,0.7650273224043715,0.7650273224043715,0.8588957055214723,1.1226993865030674,1.0,0.08360954343217175,1.6652411499168442,0.9999999999999999,0.8588957055214724,0.3994863746611497,0.9294478527607362
"frozenset({'header', 'goal'})",frozenset({'cross'}),0.7650273224043715,0.8907103825136612,0.7650273224043715,1.0,1.1226993865030674,1.0,0.08360954343217175,inf,0.4651162790697674,0.8588957055214724,1.0,0.9294478527607362
frozenset({'header'}),"frozenset({'cross', 'goal'})",0.7650273224043715,0.8907103825136612,0.7650273224043715,1.0,1.1226993865030674,1.0,0.08360954343217175,inf,0.4651162790697674,0.8588957055214724,1.0,0.9294478527607362
"frozenset({'cross', 'goal'})",frozenset({'header'}),0.8907103825136612,0.7650273224043715,0.7650273224043715,0.8588957055214723,1.1226993865030674,1.0,0.08360954343217175,1.6652411499168442,0.9999999999999999,0.8588957055214724,0.3994863746611497,0.9294478527607362
"frozenset({'cross', 'goal'})","frozenset({'header', 'wing_play'})",0.8907103825136612,0.7650273224043715,0.7650273224043715,0.8588957055214723,1.1226993865030674,1.0,0.08360954343217175,1.6652411499168442,0.9999999999999999,0.8588957055214724,0.3994863746611497,0.9294478527607362
frozenset({'cross'}),"frozenset({'header', 'goal', 'wing_play'})",0.8907103825136612,0.7650273224043715,0.7650273224043715,0.8588957055214723,1.1226993865030674,1.0,0.08360954343217175,1.6652411499168442,0.9999999999999999,0.8588957055214724,0.3994863746611497,0.9294478527607362
frozenset({'header'}),"frozenset({'wing_play', 'cross', 'goal'})",0.7650273224043715,0.8907103825136612,0.7650273224043715,1.0,1.1226993865030674,1.0,0.08360954343217175,inf,0.4651162790697674,0.8588957055214724,1.0,0.9294478527607362
"frozenset({'wing_play', 'cross'})","frozenset({'header', 'goal'})",0.8907103825136612,0.7650273224043715,0.7650273224043715,0.8588957055214723,1.1226993865030674,1.0,0.08360954343217175,1.6652411499168442,0.9999999999999999,0.8588957055214724,0.3994863746611497,0.9294478527607362
frozenset({'cross'}),"frozenset({'header', 'goal'})",0.8907103825136612,0.7650273224043715,0.7650273224043715,0.8588957055214723,1.1226993865030674,1.0,0.08360954343217175,1.6652411499168442,0.9999999999999999,0.8588957055214724,0.3994863746611497,0.9294478527607362
"frozenset({'header', 'wing_play'})",frozenset({'cross'}),0.7650273224043715,0.8907103825136612,0.7650273224043715,1.0,1.1226993865030674,1.0,0.08360954343217175,inf,0.4651162790697674,0.8588957055214724,1.0,0.9294478527607362
frozenset({'header'}),"frozenset({'wing_play', 'cross'})",0.7650273224043715,0.8907103825136612,0.7650273224043715,1.0,1.1226993865030674,1.0,0.08360954343217175,inf,0.4651162790697674,0.8588957055214724,1.0,0.9294478527607362
"frozenset({'wing_play', 'cross'})",frozenset({'header'}),0.8907103825136612,0.7650273224043715,0.7650273224043715,0.8588957055214723,1.1226993865030674,1.0,0.08360954343217175,1.6652411499168442,0.9999999999999999,0.8588957055214724,0.3994863746611497,0.9294478527607362
"frozenset({'header', 'cutback'})",frozenset({'cross'}),0.7595628415300546,0.8907103825136612,0.7595628415300546,1.0,1.1226993865030674,1.0,0.08301233240765626,inf,0.4545454545454546,0.8527607361963189,1.0,0.9263803680981595
frozenset({'cross'}),"frozenset({'header', 'cutback'})",0.8907103825136612,0.7595628415300546,0.7595628415300546,0.852760736196319,1.1226993865030674,1.0,0.08301233240765626,1.6329690346083787,1.0000000000000002,0.8527607361963189,0.38761851645287226,0.9263803680981595
"frozenset({'header', 'wing_play'})","frozenset({'cross', 'goal'})",0.7650273224043715,0.8907103825136612,0.7650273224043715,1.0,1.1226993865030674,1.0,0.08360954343217175,inf,0.4651162790697674,0.8588957055214724,1.0,0.9294478527607362
"frozenset({'wing_play', 'cross', 'goal'})",frozenset({'header'}),0.8907103825136612,0.7650273224043715,0.7650273224043715,0.8588957055214723,1.1226993865030674,1.0,0.08360954343217175,1.6652411499168442,0.9999999999999999,0.8588957055214724,0.3994863746611497,0.9294478527607362
"frozenset({'header', 'goal', 'cutback'})","frozenset({'wing_play', 'cross'})",0.7595628415300546,0.8907103825136612,0.7595628415300546,1.0,1.1226993865030674,1.0,0.08301233240765626,inf,0.4545454545454546,0.8527607361963189,1.0,0.9263803680981595
"frozenset({'header', 'wing_play', 'cutback'})","frozenset({'cross', 'goal'})",0.7595628415300546,0.8907103825136612,0.7595628415300546,1.0,1.1226993865030674,1.0,0.08301233240765626,inf,0.4545454545454546,0.8527607361963189,1.0,0.9263803680981595
"frozenset({'header', 'goal', 'wing_play', 'cutback'})",frozenset({'cross'}),0.7595628415300546,0.8907103825136612,0.7595628415300546,1.0,1.1226993865030674,1.0,0.08301233240765626,inf,0.4545454545454546,0.8527607361963189,1.0,0.9263803680981595
"frozenset({'wing_play', 'cross', 'goal'})","frozenset({'header', 'cutback'})",0.8907103825136612,0.7595628415300546,0.7595628415300546,0.852760736196319,1.1226993865030674,1.0,0.08301233240765626,1.6329690346083787,1.0000000000000002,0.8527607361963189,0.38761851645287226,0.9263803680981595
"frozenset({'wing_play', 'cross'})","frozenset({'header', 'goal', 'cutback'})",0.8907103825136612,0.7595628415300546,0.7595628415300546,0.852760736196319,1.1226993865030674,1.0,0.08301233240765626,1.6329690346083787,1.0000000000000002,0.8527607361963189,0.38761851645287226,0.9263803680981595
"frozenset({'header', 'cutback'})","frozenset({'wing_play', 'cross', 'goal'})",0.7595628415300546,0.8907103825136612,0.7595628415300546,1.0,1.1226993865030674,1.0,0.08301233240765626,inf,0.4545454545454546,0.8527607361963189,1.0,0.9263803680981595
frozenset({'cross'}),"frozenset({'header', 'goal', 'wing_play', 'cutback'})",0.8907103825136612,0.7595628415300546,0.7595628415300546,0.852760736196319,1.1226993865030674,1.0,0.08301233240765626,1.6329690346083787,1.0000000000000002,0.8527607361963189,0.38761851645287226,0.9263803680981595
"frozenset({'cross', 'goal'})","frozenset({'header', 'wing_play', 'cutback'})",0.8907103825136612,0.7595628415300546,0.7595628415300546,0.852760736196319,1.1226993865030674,1.0,0.08301233240765626,1.6329690346083787,1.0000000000000002,0.8527607361963189,0.38761851645287226,0.9263803680981595
"frozenset({'header', 'cutback'})","frozenset({'cross', 'goal'})",0.7595628415300546,0.8907103825136612,0.7595628415300546,1.0,1.1226993865030674,1.0,0.08301233240765626,inf,0.4545454545454546,0.8527607361963189,1.0,0.9263803680981595
"frozenset({'cross', 'goal'})","frozenset({'header', 'cutback'})",0.8907103825136612,0.7595628415300546,0.7595628415300546,0.852760736196319,1.1226993865030674,1.0,0.08301233240765626,1.6329690346083787,1.0000000000000002,0.8527607361963189,0.38761851645287226,0.9263803680981595
frozenset({'cross'}),"frozenset({'header', 'goal', 'cutback'})",0.8907103825136612,0.7595628415300546,0.7595628415300546,0.852760736196319,1.1226993865030674,1.0,0.08301233240765626,1.6329690346083787,1.0000000000000002,0.8527607361963189,0.38761851645287226,0.9263803680981595
"frozenset({'header', 'goal'})","frozenset({'wing_play', 'cross'})",0.7650273224043715,0.8907103825136612,0.7650273224043715,1.0,1.1226993865030674,1.0,0.08360954343217175,inf,0.4651162790697674,0.8588957055214724,1.0,0.9294478527607362
"frozenset({'header', 'cutback'})","frozenset({'wing_play', 'cross'})",0.7595628415300546,0.8907103825136612,0.7595628415300546,1.0,1.1226993865030674,1.0,0.08301233240765626,inf,0.4545454545454546,0.8527607361963189,1.0,0.9263803680981595
"frozenset({'header', 'wing_play', 'cutback'})",frozenset({'cross'}),0.7595628415300546,0.8907103825136612,0.7595628415300546,1.0,1.1226993865030674,1.0,0.08301233240765626,inf,0.4545454545454546,0.8527607361963189,1.0,0.9263803680981595
frozenset({'cross'}),"frozenset({'header', 'wing_play', 'cutback'})",0.8907103825136612,0.7595628415300546,0.7595628415300546,0.852760736196319,1.1226993865030674,1.0,0.08301233240765626,1.6329690346083787,1.0000000000000002,0.8527607361963189,0.38761851645287226,0.9263803680981595
"frozenset({'header', 'goal', 'cutback'})",frozenset({'cross'}),0.7595628415300546,0.8907103825136612,0.7595628415300546,1.0,1.1226993865030674,1.0,0.08301233240765626,inf,0.4545454545454546,0.8527607361963189,1.0,0.9263803680981595
"frozenset({'header', 'goal', 'wing_play'})",frozenset({'cross'}),0.7650273224043715,0.8907103825136612,0.7650273224043715,1.0,1.1226993865030674,1.0,0.08360954343217175,inf,0.4651162790697674,0.8588957055214724,1.0,0.9294478527607362
"frozenset({'wing_play', 'cross'})","frozenset({'header', 'cutback'})",0.8907103825136612,0.7595628415300546,0.7595628415300546,0.852760736196319,1.1226993865030674,1.0,0.08301233240765626,1.6329690346083787,1.0000000000000002,0.8527607361963189,0.38761851645287226,0.9263803680981595
"frozenset({'header', 'cross'})","frozenset({'wing_play', 'goal', 'cutback'})",0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
"frozenset({'wing_play', 'goal', 'cutback'})","frozenset({'header', 'cross'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'header', 'cross', 'goal'})","frozenset({'wing_play', 'cutback'})",0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
"frozenset({'header', 'cross', 'wing_play'})","frozenset({'goal', 'cutback'})",0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
frozenset({'cutback'}),"frozenset({'header', 'goal', 'wing_play'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'header', 'cross', 'goal', 'wing_play'})",frozenset({'cutback'}),0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
"frozenset({'header', 'goal'})","frozenset({'wing_play', 'cutback'})",0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
"frozenset({'header', 'wing_play'})","frozenset({'goal', 'cutback'})",0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
"frozenset({'wing_play', 'cutback'})","frozenset({'header', 'goal'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'wing_play', 'goal', 'cutback'})",frozenset({'header'}),0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'header', 'goal', 'wing_play'})",frozenset({'cutback'}),0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
frozenset({'cutback'}),"frozenset({'header', 'cross', 'goal'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'goal', 'cutback'})","frozenset({'header', 'wing_play'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
frozenset({'header'}),"frozenset({'wing_play', 'goal', 'cutback'})",0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
frozenset({'cutback'}),"frozenset({'header', 'cross', 'goal', 'wing_play'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'header', 'goal'})",frozenset({'cutback'}),0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
"frozenset({'wing_play', 'cutback'})","frozenset({'header', 'cross', 'goal'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'goal', 'cutback'})","frozenset({'header', 'cross', 'wing_play'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'header', 'cross'})","frozenset({'goal', 'cutback'})",0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
"frozenset({'goal', 'cutback'})","frozenset({'header', 'cross'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'header', 'cross', 'goal'})",frozenset({'cutback'}),0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
frozenset({'cutback'}),"frozenset({'header', 'cross', 'wing_play'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'goal', 'cutback'})",frozenset({'header'}),0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'header', 'cross'})",frozenset({'cutback'}),0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
frozenset({'header'}),frozenset({'cutback'}),0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
frozenset({'cutback'}),"frozenset({'header', 'cross'})",0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
"frozenset({'wing_play', 'cutback'})",frozenset({'header'}),0.912568306010929,0.7650273224043715,0.7595628415300546,0.8323353293413173,1.0879811804961506,1.0,0.0614231538714205,1.401444184231069,0.9249100719424468,0.8273809523809524,0.28645035510374567,0.9125962360992301
frozenset({'header'}),"frozenset({'wing_play', 'cutback'})",0.7650273224043715,0.912568306010929,0.7595628415300546,0.9928571428571429,1.0879811804961506,1.0,0.0614231538714205,12.240437158469987,0.3441525849088173,0.8273809523809524,0.9183035714285717,0.9125962360992301
