attack_id,features
190,"central_attack,through_ball"
191,"central_attack,through_ball"
192,"inside_box_shot,central_attack,through_ball,goal"
193,"central_attack,through_ball"
194,"central_attack,through_ball"
195,"central_attack,through_ball"
196,"central_attack,through_ball,goal"
197,"central_attack,through_ball"
198,"central_attack,through_ball"
199,"inside_box_shot,through_ball,central_attack,goal"
200,"inside_box_shot,central_attack,through_ball,goal"
201,"central_attack,through_ball"
202,"central_attack,fast_break,goal"
203,"central_attack,through_ball,goal"
204,"central_attack,through_ball,fast_break"
205,"through_ball,central_attack,goal"
206,"central_attack,through_ball,fast_break"
207,"through_ball,central_attack"
208,"central_attack,through_ball"
209,"through_ball,central_attack"
210,"central_attack,through_ball"
211,"central_attack,through_ball"
212,"central_attack,through_ball"
213,"central_attack,through_ball,fast_break"
214,"central_attack,through_ball"
215,"central_attack,fast_break"
216,"central_attack,through_ball"
217,"central_attack,through_ball,goal"
218,"central_attack,through_ball,goal"
219,"central_attack,through_ball"
220,"central_attack,through_ball,goal"
221,"central_attack,through_ball"
222,"through_ball,central_attack"
223,"central_attack,through_ball"
224,"inside_box_shot,central_attack,through_ball,goal"
225,"central_attack,through_ball"
226,"central_attack,through_ball"
227,"central_attack,fast_break,goal"
228,"central_attack,goal"
229,"central_attack,goal"
230,"inside_box_shot,central_attack,fast_break,goal"
231,"central_attack,fast_break"
232,"central_attack,fast_break"
233,"inside_box_shot,central_attack,goal"
234,"central_attack,fast_break"
235,"central_attack,fast_break"
236,"central_attack,goal"
237,"central_attack,fast_break"
238,"central_attack,goal"
239,"inside_box_shot,central_attack,fast_break,goal"
240,"inside_box_shot,central_attack,fast_break,goal"
241,"central_attack,fast_break"
242,"inside_box_shot,central_attack,goal"
243,"central_attack,goal"
244,"central_attack,fast_break"
245,"inside_box_shot,central_attack,goal"
246,"central_attack,fast_break"
247,"inside_box_shot,central_attack,goal"
248,"inside_box_shot,central_attack,goal"
249,"central_attack,fast_break"
250,"inside_box_shot,central_attack,goal"
251,"central_attack,fast_break"
252,"inside_box_shot,central_attack,goal"
253,"inside_box_shot,central_attack,goal"
254,"central_attack,fast_break"
255,"central_attack,through_ball"
256,"inside_box_shot,central_attack,through_ball,goal"
257,"through_ball,central_attack,fast_break"
258,"central_attack,through_ball,fast_break"
259,"central_attack,fast_break"
260,"central_attack,through_ball"
261,"central_attack,through_ball"
262,"central_attack,through_ball"
263,"central_attack,through_ball"
264,"central_attack,through_ball"
265,"through_ball,central_attack"
266,"central_attack,through_ball,fast_break"
267,"central_attack,through_ball"
268,"central_attack,through_ball"
269,"central_attack,through_ball"
270,"central_attack,through_ball"
271,"central_attack,through_ball"
272,"central_attack,through_ball,inside_box_shot,fast_break,goal"
273,"central_attack,through_ball"
274,"central_attack,through_ball"
275,"central_attack,through_ball,goal"
276,"central_attack,through_ball"
